"","Row.names","TCGA-AO-A126","TCGA-A2-A0CZ","TCGA-AC-A23G","TCGA-AN-A0XL","TCGA-EW-A3E8","TCGA-B6-A402","TCGA-EW-A1PF","TCGA-AC-A2QI","TCGA-E2-A10F","TCGA-A8-A06N","TCGA-A7-A5ZV","TCGA-LL-A441","TCGA-A7-A3J0","TCGA-AC-A2FM","TCGA-AO-A0JL","TCGA-D8-A1XD","TCGA-E2-A15F","TCGA-E2-A14U","TCGA-B6-A0IQ","TCGA-E2-A108","TCGA-A2-A4RY","TCGA-A8-A07C","TCGA-A2-A0CY","TCGA-A8-A08I","TCGA-E9-A54X","y"
"1098","ENSG00000070081",21326,3153,1487,8290,10168,2432,6704,5061,2916,28745,6518,6953,37602,20794,6061,3528,7400,7211,3990,3210,2088,8292,4363,43356,7055,"NUCB2"
"1099","ENSG00000070087",7077,5666,1645,2055,5492,9512,6818,1107,5342,9080,7981,3414,10375,6769,7986,5005,7407,5125,25291,6328,3096,31384,7967,14610,6372,"PFN2"
"1100","ENSG00000070159",1460,1542,1005,2385,771,1883,2679,1522,3437,341,1076,1680,7641,1597,885,459,1578,3715,1498,1519,1923,1863,1248,5004,1767,"PTPN3"
"1101","ENSG00000070182",81,174,93,217,60,185,99,160,92,154,32,113,96,61,110,65,47,94,119,241,239,308,39,117,12,"SPTB"
"1102","ENSG00000070190",85,198,186,100,1207,1467,557,731,1070,124,181,2199,409,59,68,100,601,290,476,979,489,499,109,1816,734,"DAPP1"
"1103","ENSG00000070193",332,331,153,280,235,37,139,75,415,3099,0,172,23319,18,5,179,275,43,10,653,157,13,11,1220,3513,"FGF10"
"1104","ENSG00000070214",14594,9110,5903,12232,12758,5562,9474,11723,15925,16188,4668,6267,10230,6688,3408,7298,5106,21543,3592,8946,5514,21393,5381,23918,7484,"SLC44A1"
"1105","ENSG00000070269",1586,847,558,1622,1550,1419,1143,1886,1209,2382,360,1191,1813,3609,692,1447,992,1546,2108,956,1198,1521,517,2186,815,"TMEM260"
"1106","ENSG00000070366",449,1763,1111,1393,1471,439,1906,1703,1549,3293,739,1874,4691,2874,345,2439,2767,2567,1140,1446,1640,2420,499,4325,224,"SMG6"
"1107","ENSG00000070367",1872,2408,1559,4006,3766,4424,3292,5116,4454,8976,850,2558,4207,7585,1613,4669,2894,3077,6417,3223,2237,6044,1057,12738,3342,"EXOC5"
"1108","ENSG00000070371",120,216,169,221,848,321,433,232,212,41,775,824,175,64,161,214,42,134,133,183,226,200,355,203,6,"CLTCL1"
