"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-4496",-3.39458573223003,53.2919361703995,-3.13795251406253,0.00173442525430195,0.00743430995754213,-5.43246388177987
"hsa-miR-4497",-293.606961385795,3067.90703928995,-4.59640704433156,4.65899774624748e-06,2.86685566839646e-05,0.153703722893381
"hsa-miR-4498",-1.82393859631003,58.4356245124081,-2.17612130387053,0.0297017726186696,0.0999693890487436,-7.97739634115747
"hsa-miR-4499",-51.2014382865969,394.752398470639,-6.26065852338818,4.99375377208915e-10,4.98381595363723e-09,9.01600871376838
"hsa-miR-449a",0.00416657442203986,0.00236623700532623,0.872261850097995,0.383205119982972,0.753651863113937,-9.96239732589091
"hsa-miR-449b-3p",0.173220416455087,0.594685920507989,0.832133695636122,0.405465919413091,0.788144025525834,-9.99660032962899
"hsa-miR-449b-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-449c-3p",0.0103820806226641,0.00854003210053262,0.687073461168361,0.49214262859446,0.91836103531208,-10.1068181513891
"hsa-miR-449c-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4500",0,0,0,1,1,-10.3429708982513
"hsa-miR-4501",0,0,0,1,1,-10.3429708982513
"hsa-miR-4502",-1.05248719843479,14.5169673316858,-2.38430824316927,0.0172349269224467,0.0613001124227447,-7.5040178288176
"hsa-miR-4503",0,0,0,1,1,-10.3429708982513
"hsa-miR-4504",0,0,0,1,1,-10.3429708982513
"hsa-miR-4505",-237.572736286218,2822.03669858901,-4.12992749140405,3.82879483044176e-05,0.0002086078370058,-1.85736905007654
"hsa-miR-4506",3.34621112026681,7.97774917615313,19.9313505799004,1.33193660709411e-78,3.33983104228848e-76,165.984172384359
"hsa-miR-4507",-167.116989082552,1691.17206880213,-4.39236627143648,1.19985795851858e-05,7.01724508684625e-05,-0.751738934977356
"hsa-miR-4508",-7.54359006169499,48.3751271224101,-8.01054244034568,2.27234493936765e-15,3.70595442957034e-14,21.0948327738416
"hsa-miR-4509",0,0,0,1,1,-10.3429708982513
"hsa-miR-450a-3p",0,0,0,1,1,-10.3429708982513
"hsa-miR-450a-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-450b-3p",0.00345810245252052,0.0019638890758988,0.872261713317574,0.383205194560669,0.753651863113937,-9.96239744521708
"hsa-miR-450b-5p",0,0,0,1,1,-10.3429708982513
"hsa-miR-4510",-0.259913567059324,5.08242058600666,-1.58788218841324,0.112523699732267,0.313386301230078,-9.08251739065331
"hsa-miR-4511",0,0,0,1,1,-10.3429708982513
"hsa-miR-4512",0.00273890363090297,0.0444783626571238,0.0664399335122201,0.947036430626035,1,-10.3407623203953
"hsa-miR-4513",-0.19096630141474,26.7325089087683,-0.435976874924812,0.662916233068683,1,-10.2478766233418
"hsa-miR-4514",-1.23699290976121,22.5816194175639,-2.99907896588642,0.0027525605839042,0.0113613920397363,-5.85621830644001
"hsa-miR-4515",-37.1496289944837,310.769848268842,-8.28873003441359,2.51098203313296e-16,4.57911814405883e-15,23.2672465806241
