"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MIMAT0027462",0.206880281690173,10.0964303797468,1.24778822668197,0.21555016118092,0.712625005480326,-5.7421989380043
"MIMAT0027463",-0.062859154929563,3.50250632911392,-0.162524041897154,0.871280631157341,0.965506027927223,-6.492402518388
"MIMAT0027464",-0.835681338028145,5.91856962025317,-2.49192743751116,0.0146559758517134,0.16693353660696,-3.54262569005713
"MIMAT0027465",-0.181656690140829,3.98611392405063,-0.537599492610152,0.592264439830873,0.942576238828583,-6.36270946592794
"MIMAT0027466",-0.522889084507028,3.29993670886076,-1.35725655099973,0.178308376860666,0.65305875579597,-5.60392919511668
"MIMAT0027467",0.175748239436635,3.88107594936709,0.476006925801409,0.635295976420851,0.956354908858156,-6.39350566498865
"MIMAT0027468",0.122478873239482,11.5270759493671,0.726217406076094,0.469709259448785,0.903166062009633,-6.24533297768653
"MIMAT0027469",-0.761978873239414,4.4846835443038,-2.23619434460577,0.02796989925558,0.248360430325738,-4.10296411487435
"MIMAT0027470",0.343612676056372,8.8473164556962,1.58346454252559,0.117045661187483,0.531835383571034,-5.28319175574035
"MIMAT0027471",-0.0433503521126593,4.74716455696203,-0.121739707139637,0.903393768974063,0.968078332948962,-6.49813781806453
"MIMAT0027472",0.289700704225409,12.3061139240506,1.88700903621549,0.0625875431745473,0.388652580647417,-4.78035455702557
"MIMAT0027473",0.0618063380281884,4.16479746835443,0.18256652065766,0.855574784443055,0.965506027927223,-6.48898132797196
"MIMAT0027474",0.0756373239437025,9.40522784810127,0.298757610655166,0.765857360774116,0.961614522730469,-6.46132856568724
"MIMAT0027475",-0.162639084507028,4.01145569620253,-0.458535804689179,0.647742919170899,0.96014045367731,-6.40156362901721
"MIMAT0027476",-0.0562235915492808,3.33659493670886,-0.15444872580027,0.877623673592729,0.965506027927223,-6.49366870889839
"MIMAT0027477",-0.458012323943647,3.72549367088608,-1.20662776161599,0.230937618436584,0.737838428715627,-5.79129490118175
"MIMAT0027478",0.0563908450704584,9.98543037974684,0.297407212553112,0.766884447233403,0.961614522730469,-6.46172650038035
"MIMAT0027479",0.101704225352131,4.26140506329114,0.266902600180674,0.790193445901345,0.962062361491601,-6.47023619458307
"MIMAT0027480",-0.175172535211243,5.2893164556962,-0.53002146808207,0.597484909297935,0.943280742523281,-6.36669907647965
